location,location_other,timezone,expenses,workspace,class_attendance,enrollment_changes,preferred_grading,flu_symptoms,tested,self_quarantined,know_positive,spring_break,harvard_handling,harvard_comments,govt_handling,govt_comments,normal_estimate,thoughts,year,gender,ethnicity,freshman_dorm,house,concentration
Family home,,-4,50,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,,2,,6-12 months,,2023,Female,"Black or African American,Asian",,,
Family home,,-4,500,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",8,"Mandatory P/F or the A/A- standard would help a lot of students especially since not all of us are in accessible time zones, have internet, and/or spaces to study at home",2,We need decisive leadership. Statewide shutdowns should be nationwide otherwise they don’t work as well.,3-6 months,My mom lost her job and now we have no income so she will me taking from my personal savings to pay bills until we can’t anymore. Other people are in similar or worse situations. Domestic violence are the effects of poverty are going to skyrocket because of this,2023,Female,White,Matthews,,Chemistry and Physics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",9,,,,2-3 months,,2021,Male,White,,Cabot,Philosophy
Family home,,-7,175,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",10,"I feel as though people who have complained have not yet fully understood what is going on in the world. Leaving is an inconvenience, obviously for some more than others, however to readjust how Harvard conducts grading universally without the option to take a class for grades is also an inconvenience for many people. Furthermore, let’s  not pretend that all students will pursue topics with the same rigor if the rewards for that rigor are removed. It is simply unethical to tell future doctors and engineers and policy makers that what they are learning doesn’t matter enough to reward their hard work. Something bad happened but let’s not let our reaction to tricky circumstances have worse consequences than if we had done nothing. At least optional pass fail best suits everyone’s wishes. ",6,,3-6 months,,2021,Prefer not to say,Prefer not to say,Matthews,Lowell,Computer Science
Family home,,-7,2000,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",8,,5,,6-12 months,,2021,Male,Asian,,Adams,Applied Mathematics
Family home,,-7,200,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",9,"The first days were shocking, but retrospectively, they did the right thing as early as possible.",6,,3-6 months,,2023,Female,Asian,Thayer,N/A,Applied Mathematics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",5,,2,,6-12 months,,2023,Female,Asian,Wigglesworth,N/A,Government
Family home,,-4,50,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",10,,3,,3-6 months,,2021,Male,White,N/A,Kirkland,Mathematics
Family home,,11,0,I have a quiet space to work but not reliable internet access,Watching recorded lecture,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",8,"I think the financial aid office did a fantastic job adapting to the situation. I don’t understand why the university made such an abrupt decision to cancel classes without informing professors, staff, or students. ",,"Australia was ahead of the curve, but it seems to be doing pretty badly now",3-6 months,,2022,Female,Asian,,Dunster,Computer Science
Family home,,-4,,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,,3,,2-3 months,,2023,Female,,Weld,N/A,Economics
Family home,,-4,50,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,Yes,"No, I did not have spring break plans",9,,1,,12+ months,,2022,Male,Asian,,Dunster,Applied Mathematics
Family home,,-4,1000,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",3,"They should've had a plan ready for how they were going to implement the move-out, but they obviously didn't.",2,,3-6 months,,2020,Male,White,N/A,Mather,Applied Mathematics
Family home,,-4,150,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",3,"They definitely should've given more prior notice before telling students to leave campus. That way, students can gradually start figuring out ways to do so without being panicked. Due to the short notice, staff and other admin were unable to keep up with student demands, as well, further exacerbating the process. ",1,"The administration did not take it seriously enough and should've ordered a lockdown long before they actually did. If they had taken earlier steps to prevent the spread even a week before, there would be a lot fewer problems right now. ",2-3 months,,2023,Female,Asian,Stoughton,N/A,Social Studies
Other (please specify),with relatives,-4,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",1,,2,,2-3 months,,2022,Female,"White,Hispanic or Latino",,,
Family home,,-4,0,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,,5,,2-3 months,,2021,Female,"White,Asian",,Adams,Computer Science
Family home,,-7,,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",7,,1,,3-6 months,,2022,Female,Asian,,Leverett,
Family home,,-10,550,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",,"From what I've heard through the grapevine, Harvard's decision largely came from a legal liability standpoint, and the decision was probably handed down to the Corporation/Overseers from their lawyers. While I certainly sympathize with the incredibly tough situation Harvard faced either way, I think it was a poor decision to send people home with so little notice and with no real choice in the matter. It set off massive parties and get-togethers across campus, where if anyone was infected corona it would have/did spread like wildfire. Then, everyone got on planes and trains to go home, potentially exposing tons of people that are in far more at-risk demographics. We obviously don't know all of the behind-the-scenes calculations that led to Harvard's decision, but that's my opinion based on the information available.

In my mind, the worst aspect of Harvard's response is how sudden it was. They should have told us at least a week beforehand that this option is on the table, and to at least begin considering move-out logistics. I'm sure they feared it would spark panic, but their decision made people panic with no ability to pre-plan, and forced them to buy expensive travel and storage options to deal with it. In a similar vein re communication, contradictory information coming from the university made things particularly hard. From my international friends I heard they got two emails in 10 minutes telling them they DID NOT, and then DID, have to move out by Sunday. I know they were struggling with a very compressed timeline, but they did not do a particularly good job of anticipating student needs and questions. The most glaring example is Commencement, where it took them 3-4 days to acknowledge that this is something that is ""on students' minds,"" as I think Mike Burke put it. It would have been so much better, and somewhat quieted the rumor mill, if they were just transparent about what stage they were at in the planning process, from the move-out decision onward. Just say, ""we can't make commitments to an alternative commencement plan at this point with the rapidly changing coronavirus situation, but we understand it's hugely important to seniors and we're committed to celebrating you when it's safe."" That's all it would take to reassure people, but we didn't get that from Bacow until a week and a half later. That, I think, was the biggest problem: being transparent about what they didn't, or couldn't, know.",4,,3-6 months,,2020,Female,White,,Winthrop,English
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,,4,,2-3 months,,2023,Female,White,Grays,,Government
Family home,,-4,550,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",5,,3,,6-12 months,,2022,Female,White,,Lowell,Molecular and Cellular Biology
Family home,,-4,500,I have a quiet space to work but not reliable internet access,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",7,,2,,3-6 months,,2021,Female,White,,Eliot,History and Literature
Family home,,-4,200,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal pass/fail,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",3,"Could have had more plans with supporting FGLI/international/vulnerable students, particularly with financial aid and earlier notice",1,We should be having a national lockdown right now and I think the White House is fumbling on that and is putting thousands of lives at risk,3-6 months,,2020,Female,Hispanic or Latino,,Quincy,Psychology
Family home,,-4,700,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",7,"I think that Harvard responded in the best way that they could. I wish that they did not give us as many mixed signals in terms of whether we should leave/stay on campus. Also, I wish that Harvard would be quicker in telling us their grading policy decision.",1,The national government has not done anything correctly. Very incompetent overall.,3-6 months,,2021,Female,Asian,,Currier,"    Mathematics,    Statistics"
Family home,,0,300,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",3,,4,,3-6 months,,2022,Male,White,N/A,Kirkland,Mathematics
Family home,,-7,400,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,I think Harvard took a strong stance and at first it was very unsettling and disappointing but now as majority of other universities have followed it seems necessary and justified. I’m glad they allowed us to move out with our belongings and made as many resources available as possible.,5,I think the national government is overwhelmed and unprepared and really struggling to formulate a consistent plan to fight the virus.,2-3 months,,2022,Female,White,Canaday,Winthrop,Special Concentration
Family home,,-7,350,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",8,"Harvard did a great job. It was a huge inconvenience to everyone, of course, but Harvard has had a relatively proactive response compared to other universities in the country.",4,"The Wall Street bailout was a hella stupid idea. Trump has been on national television lying about the severity of the coronavirus all year, contributing to the constant spread of misinformation about the virus, and it doesn't help that he fired most of the CDC and never replaced them. The CDC has done some good stuff, but a lot of the important work has been done by the states, when the federal government is the one with the financial power to actually help people.",3-6 months,"I'm scared and I don't know how society's gonna be able to go on like this. Working at home is hard; I can't focus well. I'm a senior and I don't have a job and I don't know how to find one in this recession and I feel defective. I feel so aimless these days. I understand why the dorms had to close, but I'd be so much better able to cope with this if I were with my friends rather than with my family, including multiple people from whom I fear belittlement or criticism at any moment.",2020,Prefer not to say,White,,Currier,Classics
Personal apartment/housing,,0,800,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",5,"Obviously a difficult decision had to be made but it could’ve been done a lot earlier giving us more time and less stress, especially for international students like myself. ",4,I live in the Uk and theres has been a flash from almost zero worry to mass hysteria in the space of about 36 hours which is completely unsettling and left no time for preparations,3-6 months,,2023,Female,White,Wigglesworth,N/A,Applied Mathematics
Family home,,-4,100,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",8,,6,,2-3 months,,2023,Female,Asian,Weld,,Psychology
Family home,,-4,300,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have dropped classes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",6,,2,,3-6 months,,2020,Female,Asian,,Adams,
Family home,,,0,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",4,,8,,2-3 months,,2021,Female,White,,,Applied Mathematics
Family home,,,40,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",7,"At first, I was really pissed off by admin's decision to kick us off campus – however, now that I see the extent to which Coronavirus is unfolding, I do think that this decision was the best decision that they could've made – I just wish that they made this decision a little earlier so that students weren't as caught off-guard.",2,,6-12 months,,2023,Female,Asian,Thayer,,Economics
Family home,,-4,200,I have reliable internet access and a quiet space to work,Watching recorded lecture,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",5,,5,,2-3 months,,2023,Male,White,Pennypacker,,Economics
Family home,,-5,450,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,Necessary but unfortunate about the short notice. Should have offered free storage for everyone (not just those on financial aid). Would have also liked refunds on fees/tuition outside of room & board. Harvard's done well to acknowledge the disruption.,1,"Terrible. No prevention. Not enough acknowledgment of danger. 
Have experienced racism in public due to the usage of ""China-flu"" and ""China virus"". ",6-12 months,"Hope this underlines need for:
- healthcare for all (or at least not contingent on employment)
- better pandemic preparation
- revisiting wfh/remote policies ",2021,Female,Asian,,Winthrop,
Family home,,-5,2000,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",5,,4,,3-6 months,,2023,Female,"White,Black or African American",Stoughton,,
Family home,,-7,700,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",3,,2,,6-12 months,,2022,Female,Hispanic or Latino,N/A,Quincy,Physics
Family home,,-7,800,I have a quiet space to work but not reliable internet access,Watching live on Zoom,I have changed classes to pass/fail,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",3,"I think the way they did it wasn't great, but they fixed a lot of issues quickly (i.e. financial aid money for move out, flights, etc.) Though it caused an obscene amount of unnecessary stress... they should have cancelled spring break and let us move out that week in my opinion ",1,,3-6 months,,2021,Female,Prefer not to say,,Winthrop,
Family home,,-7,1500,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",3,,2,,2-3 months,,2021,Female,White,N/A,Mather,Statistics
Family home,,-4,150,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",7,,2,"I'm in New York, so I would say the state government is doing a much better job than the Federal government",3-6 months,,2022,Male,White,,Mather,Applied Mathematics
Family home,,-7,600,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",8,"Although it was imperfect (especially around resources to those who need it and handling panic in general), I believe they did they best they could do given the situation and ultimately made the right decision.",2,Squandered 2 months which could have prevented this all from happening...,6-12 months,,2021,Female,Asian,,Adams,Computer Science
Family home,,-7,700,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,"While the decision to de densify campus and move to online class was ultimately the correct one, I believe that this plan should have been rolled out on a more substantial timeline. Springing this on us with less than a week’s notice was highly stressful and inappropriate. Hopefully, Harvard will have a better pandemic response plan in place should such a situation arise once more. ",2,"Not enough testing, not enough people taking it seriously because the government is not perceived to be taking it seriously. Completely incompetent response by this administration. ",3-6 months,,2020,Male,Asian,,Cabot,Applied Mathematics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",9,,7,,2-3 months,,2023,Male,,Thayer,,Economics
Family home,,-4,200,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,None of the above,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",7,,2,,3-6 months,,2022,Female,White,N/A,Dunster,Classics
Family home,,-4,0,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",4,"I really wish that Harvard had moved us out earlier, and given us more time to pack and leave campus. Additionally, the choice to have in-person classes for that last one was very unwise; everything should have been on Zoom that week. ",1,I'm worried that people I know will die because of Trump's handling of the crisis.,6-12 months,,2022,Female,White,,Mather,Social Studies
Family home,,-7,600,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",8,It looked like a better and better decision every subsequent day. The one thing they could have done to improve would have been to send out storage information and financial aid information at the same time that they made the initial announcement.,3,"State-wise, people are trying. Federally, we are severely lacking testing and infrastructure and we’re going to pay for it.",3-6 months,,2022,Female,Asian,N/A,Dunster,"Computer Science,    Philosophy"
Family home,,-4,500,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Severe symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",3,,2,,3-6 months,,2022,Female,"White,Black or African American",,Lowell,Neurobiology
Family home,,-4,1200,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",4,,2,,3-6 months,,2023,Female,White,Greenough,,"Chemistry,    Slavic Languages and Literatures"
Family home,,-4,350,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,"I thought moving us out at the time they did (before spring break) was ideal, however I wish they gave us a minimum of a week for us to prepare and move out instead of just 5 days. The extra two days would have helped. However, I did think that Harvard had an abundant amount of resources which was great. ",6,We need to support hospitals and have stricter bans on going out.,2-3 months,Everyone needs to stay home so we can beat this pandemic sooner.,2022,Female,White,Holworthy,Eliot,Molecular and Cellular Biology
Family home,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,,3,,2-3 months,,2021,Female,Asian,,Cabot,Chemical and Physical Biology
Family home,,,200,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,"I think that it seemed harsh at the time, but is proving to be the right thing to do nowadays. The logistics were not handled well though. ",3,,2-3 months,,2021,Male,White,N/A,Pfoho,Molecular and Cellular Biology
Family home,,-4,,I have reliable internet access and a quiet space to work,Watching recorded lecture,I have changed classes to pass/fail,None of the above,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",7,,3,,6-12 months,,2022,Male,White,,Currier,"Applied Mathematics,    Psychology"
Family home,,-4,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,,Severe symptoms,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",9,,,,,,2022,Female,White,,Mather,Government
Family home,,-5,450,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,"I think that the short timeframe was especially problematic. I think Harvard did a great job with arranging storage and financial aid, but I think it should've been free for everyone. For me personally, I wasn't planning to come back for spring break and my parents were both traveling domestically during this time, so I had to purchase airplane tickets and take care of the logistics myself. Additionally, I was planning to leave my things with family in Northern MA over the summer, but the short turnaround for the moveout made this impossible. ",3,The government clearly didn't take this issue seriously until it was too late. I hate watching Trump lie for 90 minutes everyday in his coronavirus briefing.,6-12 months,,2023,Male,Asian,Stoughton,N/A,Undecided
Family home,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",9,,4,,2-3 months,I’m sad,2023,Male,White,Canaday,,"Astrophysics,Earth and Planetary Sciences"
Family home,,-6,400,I have a quiet space to work but not reliable internet access,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",5,,3,,6-12 months,,2022,Female,Asian,,Quincy,"History and Literature,    Visual and Environmental Studies"
Family home,,-4,200,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,3,,3-6 months,,2023,Male,White,Matthews,N/A,Mechanical Engineering
Personal apartment/housing,,-7,400,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",2,"1. Should have had more answers when they sent that Tuesday email
2. Should have cancelled classes that week
3. Should have a grading system all departments are on the same page
4. Should have provided financial aid to everyone
5. Should have postponed deadlines immediately for schoolwork
6. Should still understand they haven't done enough
7. Should understand that it is hard for students to do classes remotely
8. Should immediately have discussed tuition changes
9. Should force HUHS to continue mental health counseling via Zoom instead of allowing them to close cases",4,They knew this was coming and should have taken preemptive measures. Am I surprised? No.,2-3 months,"This is impacting my whole life and my future. A lot of summer internships have been canceled, so I also don't know what I will do for the summer.",2021,Female,"White,Asian",N/A,Mather,Economics
A friend's house,,-4,100,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,,1,Your scale doesn't have a 0 option.,3-6 months,,2022,Female,White,,Cabot,Sociology
Family home,,1,3500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have changed classes to pass/fail,Universal pass/fail,Severe symptoms,Yes,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,"Good: early closure of campus. Did a decent job at providing move out resources. 
Bad: not moving to uni pass/fail ASAP.",10,"Germany: high number of hospital beds, widespread testing, calm government leadership.",2-3 months,,2022,Male,White,N/A,Eliot,Economics
Family home,,-4,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,Yes,"No, I did not have spring break plans",7,,2,,3-6 months,,2021,Male,White,N/A,Pfoho,Mathematics
Family home,,-4,0,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",6,"Should have asked us to make contingency plans earlier, kicking out first-gen/low-income/international/vulnerable students with 5 days notice was not cool.",3,Trump is an idiot and is a month behind where we need to be.,6-12 months,"American exceptionalism is on life support, and we're all out of ventilators.",2020,Male,Black or African American,N/A,Lowell,Government
Family home,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",10,,4,,3-6 months,,2020,Male,"Black or African American,Middle Eastern or North African",,Pfoho,Linguistics
Family home,,-4,200,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have changed classes to pass/fail,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",3,,2,,6-12 months,,2020,Female,White,N/A,Cabot,
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,"I think that they made the right decision, but I think they should have had more concrete plans for enacting that decision before they did it. Many of the FAQs early in the week on their website were blank, and it was clear that it was a panicked decision.",6,"Alright, but not great",2-3 months,,2022,Male,White,N/A,Adams,Applied Mathematics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"Yes, but it was not the spring break trip I planned",3,,1,"The government needs to pour resources into increasing hospital capacity and supplies RIGHT NOW, isn't that why we're all quarantining to flatten the curve? So the hospitals have time to prepare and get supplies and train people and aren't as overwhelmed by as many patients at once who need care? So WHY ISN'T THE GOVERNMENT PRIORITIZING THIS?",3-6 months,:-(,2022,Female,White,,,
Family home,,-7,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,"I think they overall did well. They were one of the first schools to realize how serious it was, and that we were not coming back for the semester. Although it was a shock, they did the right thing. I also appreciated how they offered financial assistance, although maybe it was only after pushback.
Areas for improvement are in classes, TF's and professors need to be more understanding.",4,"Bad, didn't assess it as a problem at first. Trump is still providing misinformation to the public. It is more about defending his own image.",3-6 months,,2023,Female,,Thayer,,Undecided
On campus with exemption,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have not self-quarantined after leaving campus,No,"No, I cancelled spring break plans",6,,8,,2-3 months,,2023,Male,White,Pennypacker,,Biomedical Engineering
Family home,,,150,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,Severe symptoms,No,I have not self-quarantined after leaving campus,Yes,"Yes, I went on my planned spring break trip",7,,6,,2-3 months,,2021,Female,"White,Asian",,Quincy,Applied Mathematics
Family home,,-5,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have dropped classes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",2,"I agree with their response in terms of removing us from dorms for the sake of COVID-19. But I think they handled the entire process terribly. There was no guidance, no support, no resources, little communication, etc. It felt like they just kicked us out and then disappeared. And it didn't feel like they cared at all about how hard it was. Even a small thing would have been appreciated.",2,,2-3 months,,2020,Female,Asian,,Leverett,Statistics
